record_type,run_slug,arm,metrics_sha256,selected_feature_index,frame_index,tracker_source_histogram,pre_gate_sidecar_total,final_mirror_input_sidecars,final_mirror_kept_sidecars,final_mirror_persistence_horizon_blocked,learned_export_benefit_reason,aggregate_evidence,feature_id,published_selected_indices,published_observations,max_observations_from_same_first_publish_to_frame4,same_id_internal_survival,exact_id_termination_cause
lineage_next_output,a02_0_900,router_xfeat,80556d7bc20a98378a70ecdbd06abab77f2f9dd918b10daaf866edafd4faeaed,5,11,klt:342;xfeat_confirmed:15,15,15,0,1,online_seed_ok,FINAL_HORIZON_BLOCKED_AGGREGATE,10000002,"[2, 3, 4]",3,3,Unknown,Unknown
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,0,1,gftt:4;klt:346,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,1,3,gftt:1;klt:349,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,2,5,klt:345;superpoint_lightglue_confirmed:27,27,27,5,0,online_seed_ok,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,3,7,klt:343;superpoint_lightglue_confirmed:36,36,23,3,0,online_seed_budget,BUDGET_TAG_WITH_SURVIVING_PREFINAL_CANDIDATES,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,4,9,klt:342;superpoint_lightglue_confirmed:35,35,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,5,11,klt:341;superpoint_lightglue_confirmed:33,33,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,6,13,klt:341;superpoint_lightglue_confirmed:33,33,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,,,,,,
frame,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,7,15,klt:339;superpoint_lightglue_confirmed:32,32,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,,,,,,
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,4,9,klt:342;superpoint_lightglue_confirmed:35,35,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,10000000,[3],1,2,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,4,9,klt:342;superpoint_lightglue_confirmed:35,35,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,10000004,[3],1,2,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,4,9,klt:342;superpoint_lightglue_confirmed:35,35,0,0,0,online_seed_budget,BUDGET_TAG_NO_PREFINAL_CANDIDATES,10000007,[3],1,2,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,3,7,klt:343;superpoint_lightglue_confirmed:36,36,23,3,0,online_seed_budget,BUDGET_TAG_WITH_SURVIVING_PREFINAL_CANDIDATES,10000015,[2],1,3,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,3,7,klt:343;superpoint_lightglue_confirmed:36,36,23,3,0,online_seed_budget,BUDGET_TAG_WITH_SURVIVING_PREFINAL_CANDIDATES,10000016,[2],1,3,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,3,7,klt:343;superpoint_lightglue_confirmed:36,36,23,3,0,online_seed_budget,BUDGET_TAG_WITH_SURVIVING_PREFINAL_CANDIDATES,10000017,[2],1,3,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,3,7,klt:343;superpoint_lightglue_confirmed:36,36,23,3,0,online_seed_budget,BUDGET_TAG_WITH_SURVIVING_PREFINAL_CANDIDATES,10000018,[2],1,3,Unknown,Unknown
lineage_next_output,a02_0_900,router_splg,7ee4aa048f571625bf1219ce2df2601ec41a1d35688f2fe4e0d6154dd3314ac2,3,7,klt:343;superpoint_lightglue_confirmed:36,36,23,3,0,online_seed_budget,BUDGET_TAG_WITH_SURVIVING_PREFINAL_CANDIDATES,10000021,[2],1,3,Unknown,Unknown
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,0,0,gftt:350,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,1,2,gftt:29;klt:321,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,2,4,gftt:41;klt:307;xfeat_confirmed:2,2,2,2,0,online_seed_ok,PREFINAL_CANDIDATES_PRESENT_EXACT_ID_UNKNOWN,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,3,6,gftt:46;klt:304,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,4,8,gftt:35;klt:315,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,5,10,gftt:33;klt:312;xfeat_confirmed:5,5,0,0,0,online_seed_microburst_no_extend,MICROBURST_NO_EXTEND_AGGREGATE,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,6,12,gftt:27;klt:321;xfeat_confirmed:2,2,0,0,0,online_seed_microburst_no_extend:online_seed_basic,MICROBURST_NO_EXTEND_AGGREGATE,,,,,,
frame,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,7,14,gftt:29;klt:318;xfeat_confirmed:3,3,0,0,0,online_seed_microburst_no_extend,MICROBURST_NO_EXTEND_AGGREGATE,,,,,,
lineage_next_output,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,3,6,gftt:46;klt:304,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,10000000,[2],1,3,Unknown,Unknown
lineage_next_output,afrl_bus_s180_d045,router_xfeat,3ec07d8fd72d4fbcdf1ae6a73c955f97cdad6e22d72a4f88e943eee0df463d6d,3,6,gftt:46;klt:304,0,0,0,0,disabled,NO_PRE_GATE_SIDECARS_AT_THIS_OUTPUT,10000001,[2],1,3,Unknown,Unknown
