run_slug,arm,repeat,kind,log_line,wall_clock_s,ros_clock_s,feature_timestamp_ns,before_accept,value_json,scale,gravity,normal_spectrum,source,run_dir
a09_6000_6800,B,3,gyro_bias_delta,25,1788794526.417417895,1542889047.135222749,Unknown,True,"[-0.0827167, 0.0269874, -0.057697]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat3
a09_6000_6800,B,3,alignment_reject,28,1788794526.418945012,1542889047.135222749,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat3
a09_6000_6800,B,3,low_excitation_warning,29,1788794526.551398510,1542889047.265956639,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat3
a09_6000_6800,B,3,gyro_bias_delta,26,1788794526.661513605,1542889047.376671671,Unknown,True,"[0.0965337, -0.0164719, -0.0145818]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat3
a09_6000_6800,B,3,accepted,30,1788794526.699649039,1542889047.416874517,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/B/repeat3
a09_6000_6800,L6,1,low_excitation_warning,31,1788794587.022463239,1542889047.075609138,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat1
a09_6000_6800,L6,1,gyro_bias_delta,25,1788794587.090531500,1542889047.135949292,Unknown,True,"[-0.0800507, 0.0265834, -0.0582991]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat1
a09_6000_6800,L6,1,alignment_reject,32,1788794587.092065277,1542889047.135949292,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat1
a09_6000_6800,L6,1,low_excitation_warning,33,1788794587.221955339,1542889047.266743844,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat1
a09_6000_6800,L6,1,gyro_bias_delta,30,1788794587.366867509,1542889047.417594270,Unknown,True,"[0.0932567, -0.0163258, -0.0134924]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat1
a09_6000_6800,L6,1,accepted,34,1788794587.403057784,1542889047.447768058,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat1
a09_6000_6800,L6,2,low_excitation_warning,31,1788794647.909083981,1542889047.074842700,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat2
a09_6000_6800,L6,2,gyro_bias_delta,25,1788794647.975949708,1542889047.135203702,Unknown,True,"[-0.0800507, 0.0265834, -0.0582991]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat2
a09_6000_6800,L6,2,alignment_reject,32,1788794647.977477005,1542889047.135203702,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat2
a09_6000_6800,L6,2,low_excitation_warning,33,1788794648.109005963,1542889047.266003791,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat2
a09_6000_6800,L6,2,gyro_bias_delta,30,1788794648.269537223,1542889047.427061477,Unknown,True,"[0.0932567, -0.0163258, -0.0134924]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat2
a09_6000_6800,L6,2,accepted,34,1788794648.302384829,1542889047.467303049,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat2
a09_6000_6800,L6,3,low_excitation_warning,31,1788794708.726693546,1542889047.075187483,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat3
a09_6000_6800,L6,3,gyro_bias_delta,25,1788794708.797755739,1542889047.145608888,Unknown,True,"[-0.0800507, 0.0265834, -0.0582991]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat3
a09_6000_6800,L6,3,alignment_reject,32,1788794708.799267797,1542889047.145608888,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat3
a09_6000_6800,L6,3,low_excitation_warning,33,1788794708.926405996,1542889047.266354442,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat3
a09_6000_6800,L6,3,gyro_bias_delta,30,1788794709.071842380,1542889047.417261790,Unknown,True,"[0.0932567, -0.0163258, -0.0134924]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat3
a09_6000_6800,L6,3,accepted,34,1788794709.105133380,1542889047.447450793,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L6/repeat3
a09_6000_6800,L-all,1,low_excitation_warning,31,1788794771.583263344,1542889047.075405106,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat1
a09_6000_6800,L-all,1,gyro_bias_delta,25,1788794771.649867600,1542889047.135777338,Unknown,True,"[-0.0800507, 0.0265834, -0.0582991]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat1
a09_6000_6800,L-all,1,alignment_reject,32,1788794771.651380148,1542889047.135777338,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat1
a09_6000_6800,L-all,1,low_excitation_warning,33,1788794771.782894349,1542889047.266578080,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat1
a09_6000_6800,L-all,1,gyro_bias_delta,30,1788794771.927692369,1542889047.417493033,Unknown,True,"[0.0932567, -0.0163258, -0.0134924]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat1
a09_6000_6800,L-all,1,accepted,34,1788794771.961764116,1542889047.447686923,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat1
a09_6000_6800,L-all,2,low_excitation_warning,31,1788794832.389287477,1542889047.075139232,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat2
a09_6000_6800,L-all,2,gyro_bias_delta,25,1788794832.455566342,1542889047.135504085,Unknown,True,"[-0.0800507, 0.0265834, -0.0582991]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat2
a09_6000_6800,L-all,2,alignment_reject,32,1788794832.457091160,1542889047.135504085,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat2
a09_6000_6800,L-all,2,low_excitation_warning,33,1788794832.589016302,1542889047.266290003,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat2
a09_6000_6800,L-all,2,gyro_bias_delta,30,1788794832.734998615,1542889047.417170045,Unknown,True,"[0.0932567, -0.0163258, -0.0134924]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat2
a09_6000_6800,L-all,2,accepted,34,1788794832.768608373,1542889047.447351342,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat2
a09_6000_6800,L-all,3,low_excitation_warning,31,1788794893.371975544,1542889047.064796095,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat3
a09_6000_6800,L-all,3,gyro_bias_delta,25,1788794893.437153047,1542889047.135208832,Unknown,True,"[-0.0800507, 0.0265834, -0.0582991]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat3
a09_6000_6800,L-all,3,alignment_reject,32,1788794893.438688106,1542889047.135208832,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat3
a09_6000_6800,L-all,3,low_excitation_warning,33,1788794893.571805916,1542889047.266010494,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat3
a09_6000_6800,L-all,3,gyro_bias_delta,30,1788794893.714928919,1542889047.417430049,Unknown,True,"[0.0932567, -0.0163258, -0.0134924]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat3
a09_6000_6800,L-all,3,accepted,34,1788794893.747937436,1542889047.447618881,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/L-all/repeat3
a09_6000_6800,C-all,1,low_excitation_warning,27,1788794954.544669809,1542889047.065620206,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat1
a09_6000_6800,C-all,1,gyro_bias_delta,25,1788794954.614511760,1542889047.136057596,Unknown,True,"[-0.0827167, 0.0269874, -0.057697]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat1
a09_6000_6800,C-all,1,alignment_reject,28,1788794954.616014419,1542889047.146115651,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat1
a09_6000_6800,C-all,1,low_excitation_warning,29,1788794954.744333521,1542889047.266776277,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat1
a09_6000_6800,C-all,1,gyro_bias_delta,26,1788794954.858109130,1542889047.387482663,Unknown,True,"[0.0965337, -0.0164719, -0.0145818]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat1
a09_6000_6800,C-all,1,accepted,30,1788794954.908820703,1542889047.437788881,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat1
a09_6000_6800,C-all,2,low_excitation_warning,27,1788795015.628979868,1542889047.075198958,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat2
a09_6000_6800,C-all,2,gyro_bias_delta,25,1788795015.697565153,1542889047.135568940,Unknown,True,"[-0.0827167, 0.0269874, -0.057697]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat2
a09_6000_6800,C-all,2,alignment_reject,28,1788795015.699119113,1542889047.145634367,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat2
a09_6000_6800,C-all,2,low_excitation_warning,29,1788795015.827716096,1542889047.266414970,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat2
a09_6000_6800,C-all,2,gyro_bias_delta,26,1788795015.944272146,1542889047.387123053,Unknown,True,"[0.0965337, -0.0164719, -0.0145818]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat2
a09_6000_6800,C-all,2,accepted,30,1788795015.987053786,1542889047.427359521,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat2
a09_6000_6800,C-all,3,low_excitation_warning,27,1788795076.483945450,1542889047.075175028,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3
a09_6000_6800,C-all,3,gyro_bias_delta,25,1788795076.550719371,1542889047.135516776,Unknown,True,"[-0.0827167, 0.0269874, -0.057697]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3
a09_6000_6800,C-all,3,alignment_reject,28,1788795076.552715616,1542889047.135516776,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3
a09_6000_6800,C-all,3,low_excitation_warning,29,1788795076.682665342,1542889047.266316273,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3
a09_6000_6800,C-all,3,gyro_bias_delta,26,1788795076.804735437,1542889047.387078211,Unknown,True,"[0.0965337, -0.0164719, -0.0145818]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3
a09_6000_6800,C-all,3,accepted,30,1788795076.847923477,1542889047.437412433,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3
a02_0_900,B,1,low_excitation_warning,33,1788795358.824825103,1542828792.786538309,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,relative_pose_reject,34,1788795358.825322249,1542828792.786538309,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,35,1788795358.925213180,1542828792.887111740,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,relative_pose_reject,36,1788795358.925639193,1542828792.887111740,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,37,1788795359.124028178,1542828793.078299796,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,relative_pose_reject,38,1788795359.124587045,1542828793.078299796,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,39,1788795359.225644449,1542828793.178905147,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,relative_pose_reject,40,1788795359.226069912,1542828793.178905147,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,41,1788795359.423646592,1542828793.380108607,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,relative_pose_reject,42,1788795359.424132757,1542828793.380108607,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,43,1788795359.524555341,1542828793.480702386,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,gyro_bias_delta,25,1788795359.594146765,1542828793.551107375,Unknown,True,"[-0.0152826, 0.0109719, -0.0458888]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,alignment_reject,44,1788795359.596418144,1542828793.551107375,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,45,1788795359.625455080,1542828793.581279826,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,gyro_bias_delta,26,1788795359.700050186,1542828793.661750240,Unknown,True,"[-0.00333285, 0.000927076, -0.00228655]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,alignment_reject,46,1788795359.702370847,1542828793.661750240,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,47,1788795359.724965136,1542828793.681866384,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,gyro_bias_delta,27,1788795359.946035912,1542828793.903313672,Unknown,True,"[0.00185304, -0.00100862, 0.000321871]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,alignment_reject,48,1788795359.948495918,1542828793.903313672,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,49,1788795359.949758366,1542828793.913373609,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,gyro_bias_delta,28,1788795360.163392111,1542828794.124676363,Unknown,True,"[0.000649143, -1.46526e-05, 0.00352474]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,alignment_reject,50,1788795360.165826425,1542828794.124676363,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,51,1788795360.168161967,1542828794.124676363,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,gyro_bias_delta,29,1788795360.382845692,1542828794.346012402,Unknown,True,"[-0.00986835, 0.00193479, 0.00165363]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,alignment_reject,52,1788795360.385516834,1542828794.346012402,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,low_excitation_warning,53,1788795360.388012950,1542828794.346012402,Unknown,True,[],Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
a02_0_900,B,1,gyro_bias_delta,30,1788795360.472744943,1542828794.426509456,Unknown,True,"[-0.0258971, 0.00762179, 0.00350391]",Unknown,Unknown,Unknown,existing_frozen_log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1
