event_index,frame_index,timestamp_s,master_pool_hash,candidate_pool_hash,selector_config_hash,n_eligible,n_active_before,n_t_qg,overlap_h_qg,overlap_r_qg,overlap_q_qg,overlap_g_qg,h_topn,r_topn,q_topn,g_topn,qg_topn,h_order,qg_order,selection_kernel_ms,selection_active
10,2220,111.0,69cc54bf16bcf23774d0c1e95936c97003017ef5e63eaa9153afd91d574253de,69cc54bf16bcf23774d0c1e95936c97003017ef5e63eaa9153afd91d574253de,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,20.055027678608894,0
11,2221,111.05,cdeb43373f384b61cfa46f4bdf9cd54edc19751598292abe5982cc7396c85790,cdeb43373f384b61cfa46f4bdf9cd54edc19751598292abe5982cc7396c85790,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,19.565498922020197,0
12,2222,111.1,c38753b4dd85e0b32e05a0efb5bc9d2f8436395c1ef991da781be02488b4365f,c38753b4dd85e0b32e05a0efb5bc9d2f8436395c1ef991da781be02488b4365f,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,97,0,8,0.25,0.125,0.5,1.0,10000011;10000018;10000105;10000101;10000110;10000113;10000160;10000114,10000169;10000107;10000051;10000023;10000179;10000049;10000068;10000136,10000011;10000018;10000023;10000043;10000044;10000045;10000049;10000051,10000011;10000018;10000023;10000188;10000158;10000044;10000184;10000183,10000011;10000018;10000023;10000188;10000158;10000044;10000184;10000183,10000011;10000018;10000105;10000101;10000110;10000113;10000160;10000114;10000162;10000188;10000104;10000187;10000023;10000116;10000140;10000184;10000158;10000181;10000122;10000081;10000126;10000086;10000136;10000108;10000170;10000146;10000139;10000165;10000137;10000082;10000062;10000044;10000143;10000169;10000150;10000068;10000092;10000183;10000164;10000174;10000091;10000134;10000079;10000176;10000151;10000107;10000111;10000059;10000074;10000178;10000043;10000049;10000117;10000089;10000096;10000166;10000163;10000093;10000063;10000051;10000099;10000106;10000130;10000153;10000085;10000156;10000168;10000118;10000138;10000067;10000132;10000076;10000157;10000159;10000144;10000167;10000154;10000171;10000152;10000173;10000078;10000045;10000073;10000083;10000084;10000179;10000135;10000109;10000071;10000061;10000103;10000131;10000115;10000124;10000127;10000125;10000133,10000011;10000018;10000023;10000188;10000158;10000044;10000184;10000183;10000181;10000049;10000113;10000091;10000045;10000170;10000160;10000162;10000122;10000043;10000187;10000105;10000157;10000146;10000086;10000062;10000164;10000176;10000081;10000059;10000140;10000051;10000159;10000165;10000178;10000136;10000156;10000110;10000068;10000104;10000151;10000101;10000092;10000079;10000169;10000168;10000150;10000166;10000139;10000114;10000061;10000152;10000067;10000143;10000063;10000137;10000130;10000108;10000174;10000082;10000144;10000116;10000074;10000073;10000126;10000111;10000089;10000134;10000071;10000107;10000173;10000078;10000084;10000085;10000109;10000076;10000138;10000179;10000083;10000132;10000117;10000153;10000099;10000163;10000106;10000171;10000125;10000167;10000154;10000118;10000093;10000096;10000133;10000124;10000135;10000103;10000115;10000131;10000127,306.8732558749616,1
13,2223,111.15,5db764b6d964166e0c02ebd6a0fd0ae978905b635e1282a42663d5484308b113,5db764b6d964166e0c02ebd6a0fd0ae978905b635e1282a42663d5484308b113,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,86,8,0,,,,,,,,,,10000105;10000101;10000110;10000113;10000160;10000114;10000162;10000104;10000187;10000116;10000140;10000181;10000122;10000126;10000081;10000086;10000108;10000170;10000146;10000137;10000165;10000082;10000062;10000143;10000150;10000169;10000068;10000092;10000164;10000134;10000091;10000151;10000079;10000176;10000107;10000111;10000059;10000043;10000178;10000049;10000096;10000089;10000166;10000093;10000063;10000051;10000106;10000168;10000099;10000085;10000153;10000130;10000118;10000156;10000157;10000138;10000067;10000144;10000132;10000167;10000159;10000154;10000152;10000171;10000078;10000173;10000045;10000073;10000163;10000083;10000084;10000179;10000074;10000135;10000109;10000071;10000076;10000117;10000061;10000103;10000131;10000115;10000124;10000127;10000125;10000133,10000105;10000113;10000170;10000160;10000045;10000101;10000043;10000140;10000181;10000146;10000049;10000086;10000091;10000150;10000110;10000122;10000176;10000062;10000164;10000178;10000059;10000162;10000157;10000051;10000143;10000114;10000169;10000159;10000081;10000079;10000187;10000104;10000156;10000166;10000165;10000068;10000151;10000092;10000108;10000063;10000152;10000130;10000061;10000144;10000168;10000116;10000067;10000073;10000107;10000126;10000111;10000137;10000089;10000074;10000134;10000179;10000071;10000173;10000109;10000084;10000085;10000078;10000099;10000138;10000117;10000076;10000082;10000163;10000132;10000153;10000083;10000171;10000106;10000167;10000125;10000154;10000133;10000093;10000118;10000124;10000096;10000135;10000103;10000115;10000131;10000127,230.6179953739047,0
14,2224,111.2,8b8d43d0531429e550d235395ed24d0e6711519749509219b2e2dd6428c9755e,8b8d43d0531429e550d235395ed24d0e6711519749509219b2e2dd6428c9755e,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,83,7,1,0.0,0.0,0.0,1.0,10000081,10000169,10000043,10000113,10000113,10000081;10000086;10000105;10000101;10000110;10000181;10000113;10000160;10000114;10000162;10000140;10000122;10000178;10000126;10000169;10000108;10000089;10000170;10000137;10000082;10000146;10000165;10000079;10000099;10000062;10000143;10000150;10000092;10000134;10000091;10000164;10000151;10000176;10000111;10000107;10000059;10000043;10000049;10000166;10000093;10000063;10000051;10000167;10000106;10000168;10000096;10000085;10000130;10000153;10000118;10000156;10000157;10000068;10000138;10000067;10000144;10000132;10000159;10000171;10000152;10000045;10000173;10000163;10000073;10000083;10000179;10000084;10000074;10000135;10000071;10000109;10000076;10000117;10000061;10000103;10000131;10000115;10000124;10000078;10000154;10000125;10000133;10000127,10000113;10000181;10000170;10000162;10000105;10000164;10000160;10000043;10000101;10000169;10000049;10000146;10000178;10000086;10000165;10000045;10000159;10000151;10000143;10000110;10000091;10000156;10000176;10000081;10000150;10000166;10000079;10000051;10000122;10000140;10000059;10000068;10000168;10000062;10000114;10000130;10000108;10000157;10000137;10000063;10000061;10000152;10000144;10000092;10000134;10000111;10000073;10000126;10000067;10000173;10000107;10000074;10000179;10000071;10000109;10000084;10000078;10000089;10000082;10000138;10000117;10000153;10000085;10000099;10000076;10000132;10000083;10000163;10000171;10000106;10000125;10000167;10000154;10000133;10000093;10000118;10000124;10000096;10000135;10000103;10000115;10000127;10000131,213.58716022223234,1
15,2225,111.25,422ed69f1696afb6f5bf4769a2b6d03cc5ecec2af70af132f2f634018748f0d0,422ed69f1696afb6f5bf4769a2b6d03cc5ecec2af70af132f2f634018748f0d0,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,109,7,1,0.0,0.0,0.0,1.0,10000081,10000256,10000043,10000204,10000204,10000081;10000086;10000245;10000105;10000284;10000101;10000110;10000181;10000255;10000114;10000160;10000162;10000271;10000207;10000241;10000282;10000140;10000204;10000226;10000212;10000122;10000126;10000213;10000178;10000169;10000108;10000089;10000137;10000082;10000146;10000165;10000170;10000079;10000280;10000062;10000229;10000050;10000258;10000266;10000143;10000150;10000092;10000227;10000134;10000099;10000164;10000228;10000151;10000176;10000111;10000059;10000107;10000043;10000049;10000166;10000051;10000093;10000217;10000063;10000273;10000085;10000118;10000156;10000247;10000157;10000168;10000076;10000275;10000130;10000264;10000144;10000138;10000067;10000159;10000132;10000274;10000224;10000171;10000152;10000173;10000073;10000242;10000163;10000179;10000083;10000084;10000167;10000074;10000135;10000109;10000071;10000256;10000117;10000061;10000251;10000103;10000238;10000131;10000106;10000115;10000124;10000091;10000078;10000262;10000154;10000125;10000133;10000127;10000270,10000204;10000241;10000207;10000160;10000284;10000229;10000105;10000213;10000162;10000170;10000280;10000242;10000181;10000081;10000271;10000049;10000101;10000157;10000212;10000091;10000164;10000146;10000086;10000228;10000169;10000217;10000165;10000110;10000226;10000150;10000043;10000178;10000166;10000282;10000176;10000151;10000050;10000245;10000059;10000159;10000143;10000051;10000062;10000140;10000266;10000152;10000156;10000273;10000255;10000274;10000114;10000224;10000092;10000108;10000227;10000264;10000067;10000079;10000144;10000258;10000111;10000063;10000168;10000130;10000275;10000137;10000082;10000126;10000061;10000089;10000073;10000173;10000134;10000122;10000179;10000074;10000117;10000071;10000138;10000109;10000238;10000085;10000078;10000132;10000163;10000107;10000076;10000171;10000256;10000083;10000099;10000084;10000167;10000106;10000154;10000247;10000125;10000133;10000124;10000262;10000118;10000135;10000270;10000251;10000093;10000103;10000115;10000127;10000131,339.96076975017786,1
16,2226,111.3,4128da8ecb159975ccaca28959ce8217195d5c6d72c485f14de27036975e9f16,4128da8ecb159975ccaca28959ce8217195d5c6d72c485f14de27036975e9f16,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,105,7,1,0.0,0.0,0.0,1.0,10000081,10000256,10000049,10000241,10000241,10000081;10000086;10000245;10000105;10000284;10000101;10000181;10000255;10000114;10000162;10000160;10000271;10000241;10000282;10000140;10000223;10000226;10000209;10000206;10000212;10000122;10000126;10000178;10000108;10000169;10000089;10000082;10000146;10000137;10000170;10000165;10000079;10000280;10000062;10000050;10000229;10000266;10000258;10000143;10000228;10000150;10000092;10000134;10000227;10000099;10000164;10000176;10000151;10000111;10000059;10000049;10000166;10000051;10000063;10000093;10000242;10000217;10000273;10000157;10000085;10000156;10000118;10000247;10000076;10000168;10000103;10000275;10000138;10000144;10000067;10000130;10000132;10000274;10000224;10000173;10000171;10000152;10000073;10000163;10000179;10000083;10000167;10000074;10000135;10000109;10000071;10000084;10000256;10000117;10000061;10000251;10000238;10000131;10000106;10000115;10000124;10000091;10000264;10000078;10000262;10000154;10000125;10000133;10000127;10000270,10000241;10000284;10000229;10000206;10000223;10000170;10000280;10000242;10000081;10000209;10000105;10000160;10000162;10000181;10000049;10000282;10000165;10000150;10000271;10000086;10000169;10000164;10000091;10000176;10000212;10000226;10000157;10000122;10000245;10000059;10000266;10000156;10000217;10000166;10000062;10000178;10000140;10000151;10000050;10000228;10000143;10000051;10000152;10000255;10000114;10000224;10000146;10000092;10000168;10000101;10000273;10000126;10000274;10000264;10000227;10000144;10000108;10000130;10000067;10000134;10000079;10000111;10000061;10000258;10000137;10000275;10000089;10000173;10000063;10000082;10000109;10000179;10000073;10000074;10000138;10000085;10000071;10000117;10000238;10000078;10000132;10000163;10000084;10000171;10000099;10000256;10000083;10000076;10000167;10000125;10000106;10000154;10000247;10000133;10000262;10000124;10000118;10000270;10000135;10000251;10000093;10000103;10000115;10000127;10000131,313.2516569457948,1
17,2227,111.35,f5aa11c7fbc0988ad39f81a35b7e0617085e3ef5d78f1cec4adf3a93377975eb,f5aa11c7fbc0988ad39f81a35b7e0617085e3ef5d78f1cec4adf3a93377975eb,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,100,7,1,0.0,0.0,0.0,1.0,10000081,10000256,10000049,10000207,10000207,10000081;10000086;10000105;10000284;10000101;10000181;10000255;10000114;10000162;10000228;10000271;10000282;10000140;10000226;10000206;10000212;10000122;10000178;10000108;10000169;10000146;10000089;10000082;10000170;10000165;10000137;10000207;10000079;10000280;10000062;10000229;10000050;10000266;10000258;10000143;10000150;10000092;10000134;10000099;10000227;10000164;10000176;10000151;10000111;10000059;10000245;10000049;10000051;10000063;10000167;10000242;10000166;10000273;10000093;10000275;10000217;10000085;10000157;10000168;10000247;10000076;10000118;10000156;10000144;10000130;10000067;10000138;10000274;10000132;10000224;10000171;10000179;10000152;10000103;10000073;10000084;10000074;10000173;10000083;10000135;10000109;10000163;10000071;10000256;10000061;10000117;10000251;10000238;10000131;10000106;10000115;10000124;10000264;10000091;10000078;10000262;10000154;10000125;10000133;10000127,10000207;10000284;10000181;10000206;10000229;10000280;10000105;10000122;10000282;10000049;10000242;10000271;10000150;10000212;10000266;10000164;10000157;10000081;10000162;10000091;10000228;10000086;10000151;10000143;10000170;10000226;10000169;10000217;10000166;10000146;10000165;10000059;10000050;10000176;10000178;10000114;10000051;10000156;10000152;10000130;10000224;10000101;10000062;10000079;10000245;10000273;10000168;10000255;10000227;10000274;10000092;10000108;10000144;10000111;10000137;10000067;10000275;10000258;10000063;10000264;10000082;10000061;10000140;10000134;10000089;10000179;10000109;10000173;10000073;10000117;10000074;10000138;10000071;10000085;10000132;10000238;10000078;10000171;10000076;10000099;10000163;10000256;10000083;10000106;10000167;10000084;10000247;10000125;10000154;10000133;10000124;10000262;10000118;10000135;10000251;10000093;10000103;10000115;10000131;10000127,297.67307732254267,1
18,2228,111.4,4e68d6ecb2d7f53d411d29991b47086f16c7808667ca43df435bf510b98cbb11,4e68d6ecb2d7f53d411d29991b47086f16c7808667ca43df435bf510b98cbb11,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,127,7,1,1.0,0.0,0.0,1.0,10000317,10000256,10000049,10000317,10000317,10000317;10000081;10000086;10000296;10000105;10000101;10000255;10000114;10000162;10000308;10000356;10000271;10000304;10000340;10000140;10000365;10000318;10000226;10000122;10000298;10000360;10000178;10000228;10000206;10000108;10000169;10000146;10000082;10000089;10000137;10000170;10000165;10000363;10000346;10000079;10000314;10000359;10000280;10000229;10000062;10000266;10000258;10000143;10000352;10000092;10000134;10000099;10000209;10000227;10000164;10000176;10000325;10000324;10000151;10000321;10000059;10000245;10000049;10000238;10000051;10000166;10000063;10000093;10000275;10000332;10000273;10000217;10000242;10000168;10000347;10000085;10000369;10000157;10000247;10000144;10000167;10000328;10000118;10000156;10000130;10000354;10000315;10000067;10000345;10000274;10000138;10000355;10000322;10000132;10000224;10000171;10000179;10000152;10000073;10000084;10000103;10000367;10000074;10000212;10000173;10000083;10000135;10000050;10000109;10000163;10000071;10000076;10000256;10000358;10000061;10000117;10000333;10000251;10000106;10000131;10000115;10000124;10000091;10000264;10000078;10000341;10000262;10000154;10000364;10000125;10000127;10000133,10000317;10000298;10000271;10000162;10000359;10000266;10000296;10000229;10000105;10000206;10000346;10000308;10000280;10000209;10000176;10000122;10000170;10000081;10000363;10000165;10000304;10000086;10000156;10000164;10000049;10000360;10000212;10000143;10000157;10000101;10000242;10000356;10000169;10000146;10000151;10000228;10000091;10000114;10000166;10000318;10000255;10000369;10000217;10000352;10000226;10000325;10000050;10000273;10000355;10000059;10000152;10000137;10000051;10000340;10000274;10000245;10000079;10000130;10000062;10000168;10000092;10000178;10000314;10000365;10000108;10000224;10000264;10000144;10000324;10000315;10000134;10000140;10000227;10000179;10000275;10000347;10000082;10000173;10000067;10000258;10000328;10000061;10000354;10000341;10000063;10000138;10000358;10000163;10000089;10000367;10000109;10000171;10000117;10000132;10000074;10000073;10000364;10000322;10000071;10000085;10000238;10000099;10000078;10000167;10000076;10000154;10000256;10000084;10000125;10000333;10000083;10000106;10000247;10000133;10000262;10000321;10000124;10000135;10000345;10000118;10000251;10000093;10000103;10000332;10000115;10000131;10000127,447.9384501464665,1
19,2229,111.45,42e39ee83f3126355daf231311c3ddc288a080a6027a7722a2278372424e246d,42e39ee83f3126355daf231311c3ddc288a080a6027a7722a2278372424e246d,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,122,7,1,0.0,0.0,0.0,1.0,10000081,10000256,10000049,10000162,10000162,10000081;10000296;10000105;10000101;10000255;10000114;10000162;10000304;10000340;10000308;10000318;10000365;10000122;10000298;10000360;10000213;10000206;10000108;10000169;10000086;10000146;10000082;10000089;10000137;10000170;10000165;10000363;10000346;10000314;10000229;10000062;10000280;10000226;10000266;10000258;10000143;10000140;10000134;10000092;10000099;10000356;10000228;10000321;10000227;10000352;10000176;10000164;10000325;10000151;10000083;10000059;10000071;10000359;10000324;10000245;10000238;10000242;10000049;10000051;10000063;10000157;10000166;10000273;10000275;10000154;10000168;10000217;10000085;10000173;10000247;10000144;10000079;10000328;10000118;10000167;10000345;10000130;10000354;10000156;10000315;10000067;10000138;10000274;10000355;10000322;10000171;10000132;10000179;10000152;10000073;10000103;10000367;10000074;10000212;10000135;10000050;10000109;10000332;10000084;10000163;10000256;10000076;10000358;10000061;10000117;10000333;10000251;10000106;10000115;10000124;10000091;10000264;10000078;10000341;10000262;10000093;10000364;10000125;10000127;10000133;10000224;10000131,10000162;10000229;10000146;10000298;10000105;10000170;10000266;10000169;10000296;10000360;10000206;10000356;10000280;10000091;10000363;10000157;10000346;10000359;10000308;10000122;10000151;10000086;10000049;10000164;10000156;10000304;10000242;10000166;10000176;10000213;10000081;10000140;10000212;10000165;10000355;10000114;10000318;10000226;10000352;10000130;10000228;10000168;10000273;10000217;10000255;10000137;10000245;10000365;10000143;10000050;10000144;10000062;10000101;10000059;10000340;10000264;10000051;10000173;10000314;10000258;10000108;10000275;10000324;10000092;10000152;10000134;10000079;10000274;10000315;10000354;10000179;10000325;10000138;10000224;10000341;10000082;10000227;10000067;10000358;10000328;10000061;10000089;10000063;10000163;10000117;10000171;10000364;10000109;10000073;10000132;10000367;10000074;10000071;10000322;10000085;10000167;10000238;10000256;10000078;10000099;10000154;10000084;10000333;10000106;10000125;10000076;10000083;10000247;10000133;10000124;10000321;10000262;10000135;10000118;10000345;10000251;10000093;10000103;10000115;10000332;10000131;10000127,416.1802101880312,1
