schema_version,protocol_version,dataset_family,sequence,window_index,window_start_s,window_end_s,absolute_image_start_s,absolute_image_end_s,runner_interface,runner_start,runner_end_or_duration,runner_unit,raw_bag_start_s,raw_bag_end_s,mapping_pass,outcome_boundary
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,10,450.0,495.0,1494876929.7215545,1494876974.7215545,ROS_BAG_START_OFFSET_AND_DURATION,450.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,11,495.0,540.0,1494876974.7215545,1494877019.7215545,ROS_BAG_START_OFFSET_AND_DURATION,495.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,0,0.0,45.0,1535224862.0919013,1535224907.0919013,ROS_BAG_START_OFFSET_AND_DURATION,0.05372190475463867,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,1,45.0,90.0,1535224907.0919013,1535224952.0919013,ROS_BAG_START_OFFSET_AND_DURATION,45.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,2,90.0,135.0,1535224952.0919013,1535224997.0919013,ROS_BAG_START_OFFSET_AND_DURATION,90.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,3,135.0,180.0,1535224997.0919013,1535225042.0919013,ROS_BAG_START_OFFSET_AND_DURATION,135.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,4,180.0,225.0,1535225042.0919013,1535225087.0919013,ROS_BAG_START_OFFSET_AND_DURATION,180.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,5,225.0,270.0,1535225087.0919013,1535225132.0919013,ROS_BAG_START_OFFSET_AND_DURATION,225.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,6,270.0,315.0,1535225132.0919013,1535225177.0919013,ROS_BAG_START_OFFSET_AND_DURATION,270.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,7,315.0,360.0,1535225177.0919013,1535225222.0919013,ROS_BAG_START_OFFSET_AND_DURATION,315.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,cemetery,8,360.0,405.0,1535225222.0919013,1535225267.0919013,ROS_BAG_START_OFFSET_AND_DURATION,360.05372190475464,45.0,second,1535224862.0381794,1535225296.0352116,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,0,0.0,45.0,0.0,45.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,0,900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,1,45.0,90.0,45.0,90.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,900,1800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,2,90.0,135.0,90.0,135.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,1800,2700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,3,135.0,180.0,135.0,180.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,2700,3600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,4,180.0,225.0,180.0,225.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,3600,4500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,5,225.0,270.0,225.0,270.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,4500,5400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,6,270.0,315.0,270.0,315.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,5400,6300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,7,315.0,360.0,315.0,360.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,6300,7200,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,8,360.0,405.0,360.0,405.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,7200,8100,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,9,405.0,450.0,405.0,450.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,8100,9000,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,10,450.0,495.0,450.0,495.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,9000,9900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,11,495.0,540.0,495.0,540.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,9900,10800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,12,540.0,585.0,540.0,585.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,10800,11700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,13,585.0,630.0,585.0,630.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,11700,12600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,14,630.0,675.0,630.0,675.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,12600,13500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,15,675.0,720.0,675.0,720.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,13500,14400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,16,720.0,765.0,720.0,765.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,14400,15300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,17,765.0,810.0,765.0,810.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,15300,16200,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A01,18,810.0,855.0,810.0,855.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,16200,17100,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,0,0.0,45.0,0.0,45.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,0,900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,1,45.0,90.0,45.0,90.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,900,1800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,2,90.0,135.0,90.0,135.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,1800,2700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,3,135.0,180.0,135.0,180.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,2700,3600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,4,180.0,225.0,180.0,225.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,3600,4500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,5,225.0,270.0,225.0,270.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,4500,5400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,6,270.0,315.0,270.0,315.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,5400,6300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,7,315.0,360.0,315.0,360.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,6300,7200,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A02,8,360.0,405.0,360.0,405.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,7200,8100,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,0,0.0,45.0,0.0,45.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,0,900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,1,45.0,90.0,45.0,90.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,900,1800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,2,90.0,135.0,90.0,135.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,1800,2700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,3,135.0,180.0,135.0,180.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,2700,3600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,4,180.0,225.0,180.0,225.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,3600,4500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,5,225.0,270.0,225.0,270.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,4500,5400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A03,6,270.0,315.0,270.0,315.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,5400,6300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,0,0.0,45.0,0.0,45.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,0,900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,1,45.0,90.0,45.0,90.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,900,1800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,2,90.0,135.0,90.0,135.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,1800,2700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,3,135.0,180.0,135.0,180.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,2700,3600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,4,180.0,225.0,180.0,225.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,3600,4500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,5,225.0,270.0,225.0,270.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,4500,5400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,6,270.0,315.0,270.0,315.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,5400,6300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,7,315.0,360.0,315.0,360.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,6300,7200,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,8,360.0,405.0,360.0,405.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,7200,8100,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,9,405.0,450.0,405.0,450.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,8100,9000,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,10,450.0,495.0,450.0,495.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,9000,9900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,11,495.0,540.0,495.0,540.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,9900,10800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,12,540.0,585.0,540.0,585.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,10800,11700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A04,13,585.0,630.0,585.0,630.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,11700,12600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,0,0.0,45.0,0.0,45.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,0,900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,1,45.0,90.0,45.0,90.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,900,1800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,2,90.0,135.0,90.0,135.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,1800,2700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,3,135.0,180.0,135.0,180.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,2700,3600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,4,180.0,225.0,180.0,225.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,3600,4500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,5,225.0,270.0,225.0,270.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,4500,5400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,6,270.0,315.0,270.0,315.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,5400,6300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,7,315.0,360.0,315.0,360.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,6300,7200,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,8,360.0,405.0,360.0,405.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,7200,8100,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,9,405.0,450.0,405.0,450.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,8100,9000,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,10,450.0,495.0,450.0,495.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,9000,9900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A07,11,495.0,540.0,495.0,540.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,9900,10800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,0,0.0,45.0,0.0,45.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,0,900,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,1,45.0,90.0,45.0,90.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,900,1800,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,2,90.0,135.0,90.0,135.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,1800,2700,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,3,135.0,180.0,135.0,180.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,2700,3600,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,4,180.0,225.0,180.0,225.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,3600,4500,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,5,225.0,270.0,225.0,270.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,4500,5400,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,6,270.0,315.0,270.0,315.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,5400,6300,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,aqualoc_archaeology,A08,7,315.0,360.0,315.0,360.0,AQUALOC_FRAME_INTERVAL_HALF_OPEN,6300,7200,frame,,,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
