pair_id,query_id,sequence,source_raw,target_raw,gap_frames,source_x,source_y,blind_sheet,reference_status,target_x,target_y,uncertainty_px,annotator_identity,annotation_kind,human_confirmed,notes
A08_s040_d01,A08_s040_q4,A08,2740,2741,1,882.05078125,183.67860412597656,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q4,A08,2740,2750,10,882.05078125,183.67860412597656,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d01,A08_s040_q5,A08,2740,2741,1,166.20516967773438,484.8652038574219,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q5,A08,2740,2750,10,166.20516967773438,484.8652038574219,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d01,A08_s040_q6,A08,2740,2741,1,368.3997497558594,492.58447265625,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q6,A08,2740,2750,10,368.3997497558594,492.58447265625,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d01,A08_s040_q7,A08,2740,2741,1,595.7327270507812,457.5199279785156,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q7,A08,2740,2750,10,595.7327270507812,457.5199279785156,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d01,A08_s040_q8,A08,2740,2741,1,850.3968505859375,460.3187561035156,blind/A08_s040.png,PENDING,,,,,,False,
A08_s040_d10,A08_s040_q8,A08,2740,2750,10,850.3968505859375,460.3187561035156,blind/A08_s040.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q1,A08,2820,2821,1,187.3321533203125,204.89122009277344,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q1,A08,2820,2830,10,187.3321533203125,204.89122009277344,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q2,A08,2820,2821,1,360.13372802734375,151.34031677246094,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q2,A08,2820,2830,10,360.13372802734375,151.34031677246094,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q3,A08,2820,2821,1,611.4090576171875,142.39964294433594,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q3,A08,2820,2830,10,611.4090576171875,142.39964294433594,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q4,A08,2820,2821,1,804.2501831054688,163.86489868164062,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q4,A08,2820,2830,10,804.2501831054688,163.86489868164062,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q5,A08,2820,2821,1,170.7302703857422,463.16925048828125,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q5,A08,2820,2830,10,170.7302703857422,463.16925048828125,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q6,A08,2820,2821,1,375.0971984863281,445.32080078125,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q6,A08,2820,2830,10,375.0971984863281,445.32080078125,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q7,A08,2820,2821,1,600.744873046875,483.9824523925781,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q7,A08,2820,2830,10,600.744873046875,483.9824523925781,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d01,A08_s120_q8,A08,2820,2821,1,840.8162231445312,463.8163757324219,blind/A08_s120.png,PENDING,,,,,,False,
A08_s120_d10,A08_s120_q8,A08,2820,2830,10,840.8162231445312,463.8163757324219,blind/A08_s120.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q1,H02,40,41,1,79.40240478515625,126.7613296508789,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q1,H02,40,50,10,79.40240478515625,126.7613296508789,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q2,H02,40,41,1,236.21539306640625,132.7574462890625,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q2,H02,40,50,10,236.21539306640625,132.7574462890625,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q3,H02,40,41,1,409.50738525390625,123.5181655883789,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q3,H02,40,50,10,409.50738525390625,123.5181655883789,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q4,H02,40,41,1,561.7813110351562,122.88208770751953,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q4,H02,40,50,10,561.7813110351562,122.88208770751953,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q5,H02,40,41,1,67.2857666015625,367.70703125,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q5,H02,40,50,10,67.2857666015625,367.70703125,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q6,H02,40,41,1,261.978759765625,358.3146057128906,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q6,H02,40,50,10,261.978759765625,358.3146057128906,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q7,H02,40,41,1,406.7079772949219,376.4685363769531,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q7,H02,40,50,10,406.7079772949219,376.4685363769531,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d01,H02_s040_q8,H02,40,41,1,567.1520385742188,378.3296203613281,blind/H02_s040.png,PENDING,,,,,,False,
H02_s040_d10,H02_s040_q8,H02,40,50,10,567.1520385742188,378.3296203613281,blind/H02_s040.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q1,H02,120,121,1,71.57612609863281,122.46949768066406,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q1,H02,120,130,10,71.57612609863281,122.46949768066406,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q2,H02,120,121,1,243.482177734375,127.31827545166016,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q2,H02,120,130,10,243.482177734375,127.31827545166016,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q3,H02,120,121,1,415.2320861816406,139.0666961669922,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q3,H02,120,130,10,415.2320861816406,139.0666961669922,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q4,H02,120,121,1,581.8953247070312,107.113525390625,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q4,H02,120,130,10,581.8953247070312,107.113525390625,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q5,H02,120,121,1,80.13704681396484,396.6546630859375,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q5,H02,120,130,10,80.13704681396484,396.6546630859375,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q6,H02,120,121,1,245.056640625,386.86968994140625,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q6,H02,120,130,10,245.056640625,386.86968994140625,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q7,H02,120,121,1,403.3276062011719,394.9836120605469,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q7,H02,120,130,10,403.3276062011719,394.9836120605469,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d01,H02_s120_q8,H02,120,121,1,575.8319702148438,399.8840026855469,blind/H02_s120.png,PENDING,,,,,,False,
H02_s120_d10,H02_s120_q8,H02,120,130,10,575.8319702148438,399.8840026855469,blind/H02_s120.png,PENDING,,,,,,False,
