family,run_dir,feature_id,lineage_observations,seed_observations,first_frame,last_frame,post_confirmation_observations,median_nearest_classical_px,median_motion_ratio_to_classical,passes_same_rule,feature_frames
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,523,8,8,1,8,4,46.846498,1.156515,1,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,3456,7,7,60,66,3,43.541280,0.487593,1,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_3_s30_d20_probe,7708,7,7,61,67,3,48.649496,1.204015,1,200
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord3_s36_d10_probe_oldcontract_densecap,1460,6,6,20,25,2,56.438467,1.172832,1,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord3_s36_d10_probe_oldcontract_densecap,1461,6,6,20,25,2,52.083507,1.185605,1,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord4_s33_d10_probe_oldcontract_densecap,438,6,6,2,7,2,52.824121,0.371056,1,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,4258,5,5,62,66,1,42.070903,0.497533,1,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord3_s36_d10_probe_oldcontract_densecap,1454,5,5,20,24,1,65.067987,1.192909,1,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_shifted_burst_ntnu_fjord4_s34_d10_probe_oldcontract_densecap,6595,5,5,72,76,1,45.811954,1.205550,1,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen34_ntnu_fjord2_s340_d10_probe,597,5,5,1,5,1,45.592223,0.881220,1,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_3200_3600_probe,6064,84,9,13,147,80,20.028987,1.047348,0,200
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,20067,77,30,60,136,73,9.048687,6.419117,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,1272,76,31,4,79,72,20.595987,1.522233,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,20860,75,31,61,135,71,11.462921,5.390296,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,19542,74,30,59,132,70,13.996733,5.867703,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul16screen13_h01_3200_3600_probe,6066,60,9,13,123,56,14.388954,1.100586,0,200
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1351,57,4,9,91,53,13.657623,0.620523,0,298
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1183,56,5,8,87,52,16.172742,0.752010,0,298
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_4_s30_d20_probe,4198,55,12,30,102,51,11.711947,1.588672,0,200
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1346,54,3,9,89,50,20.751269,0.889689,0,298
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_1_s0_d30_probe,1343,53,3,9,88,49,12.988192,0.901775,0,298
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,6381,51,31,29,79,47,51.274747,1.758250,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,6383,51,31,29,79,47,19.157076,1.673690,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,7882,45,31,35,79,41,16.232427,0.978668,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,7886,45,31,35,79,41,39.016572,1.054117,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,8153,44,31,36,79,40,14.034216,0.984927,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,8157,44,31,36,79,40,19.748511,0.984422,0,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_mclab2_s120_d10,626,44,6,1,99,40,14.329814,0.376613,0,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,6391,43,31,29,71,39,37.976497,1.154000,0,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe2_ntnu_mclab2_s60_d10,718,42,5,2,99,38,22.058031,0.709612,0,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_4_s30_d20_probe,4197,42,11,30,90,38,9.853172,1.012767,0,200
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,20857,40,31,61,100,36,9.409730,,0,145
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe2_ntnu_mclab2_s60_d10,873,40,4,3,99,36,12.744508,0.710052,0,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul08_nonoverlap_onlineprobe1_ntnu_mclab2_s120_d10,993,40,4,3,99,36,15.789448,0.368612,0,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen28_ntnu_fjord2_s530_d10_probe,504,39,3,3,99,35,14.291607,0.818396,0,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1820,661,37,31,4,40,33,22.851703,0.615266,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,661,37,31,4,40,33,22.851703,0.615266,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1660_1740,661,36,31,4,39,32,22.851703,0.615266,0,40
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen28_ntnu_fjord2_s530_d10_probe,528,36,2,4,98,32,12.834068,,0,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1320_1480,438,35,31,1,35,31,11.265902,1.765860,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,8159,34,31,36,69,30,31.147184,1.283801,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,524,34,31,1,34,30,18.544303,0.840361,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain3_h04_2000_2360_probe,89574,33,30,144,176,29,12.810109,0.432042,0,180
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1757,33,30,22,54,29,14.311262,0.828387,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2051,33,30,29,61,29,28.596423,0.847788,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,49698,33,30,112,144,29,15.220891,5.000583,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,49699,33,30,112,144,29,13.942108,4.678570,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,49701,33,30,112,144,29,11.461438,2.835196,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,527,32,31,1,32,28,15.720550,0.842624,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,529,32,31,1,32,28,10.619691,0.807745,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1660_1740,979,32,30,8,39,28,10.997770,0.835136,0,40
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1820,979,32,30,8,39,28,10.997770,0.835136,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,979,32,30,8,39,28,10.997770,0.835136,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1724,31,31,21,51,27,11.021624,0.819597,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1754,31,30,22,52,27,19.467082,0.826938,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1759,31,30,22,52,27,25.818957,0.773372,0,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab1_s50_d10,1015,31,3,3,90,27,18.678949,0.839867,0,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,7752,30,30,35,64,26,29.492831,1.500194,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,528,30,30,1,30,26,12.146596,0.862441,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2057,30,30,29,58,26,15.750687,0.915149,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2689,30,30,43,72,26,18.573908,0.817400,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1694,29,29,16,44,25,24.610640,0.681704,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1698,29,29,16,44,25,13.363908,0.795029,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1702,29,29,16,44,25,34.161799,0.676783,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12908,29,29,51,79,25,18.368197,1.104197,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12910,29,29,51,79,25,11.511103,0.941231,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12913,29,29,51,79,25,15.091636,0.852537,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12916,29,29,51,79,25,16.236135,0.865638,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12918,29,29,51,79,25,14.910519,0.896597,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1748,29,29,22,50,25,18.538601,0.895131,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2054,29,29,29,57,25,22.727237,0.859405,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1013,28,28,6,33,24,12.246063,0.833033,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1704,28,28,16,43,24,23.156577,0.685471,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1743,28,28,17,44,24,31.518852,0.643344,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2053,28,28,29,56,24,16.331170,0.798190,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1660_1740,760,28,28,5,32,24,29.148808,0.588338,0,40
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1820,760,28,28,5,32,24,29.148808,0.588338,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,760,28,28,5,32,24,29.148808,0.588338,0,145
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1012,27,27,6,32,23,18.676589,0.868201,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1747,27,27,17,43,23,26.521662,0.720174,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,12329,27,27,49,75,23,14.502712,0.963245,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1728,27,27,21,47,23,19.355665,0.665259,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1751,27,27,22,48,23,31.670915,0.693777,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1758,27,27,22,48,23,11.023668,0.800316,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1010,26,26,6,31,22,10.339192,0.916787,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1745,26,26,17,42,22,20.568198,0.770376,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3577,26,26,50,75,22,22.385942,0.840034,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1727,26,26,21,46,22,11.868777,0.694805,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2684,26,26,43,68,22,16.152417,0.813208,0,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_3_s30_d20_probe,7715,26,11,61,106,22,14.709027,0.970207,0,200
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1009,25,25,6,30,21,14.139659,0.985699,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,1011,25,25,6,30,21,10.614997,0.938637,0,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s90_d10_probe,3368,25,9,23,99,21,13.611604,1.967238,0,100
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_fjord_3_s30_d20_probe,7714,25,11,61,105,21,9.900614,0.905173,0,200
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3640,24,24,51,74,20,15.753263,0.855898,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst_probe_h07_1480_1640,3918,24,24,56,79,20,17.311835,0.586816,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,7881,24,24,35,58,20,8.946929,1.558011,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,6384,24,24,29,52,20,17.466550,1.050212,0,80
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen24_ntnu_fjord2_s90_d10_probe,3370,24,8,23,99,20,11.164738,2.317302,0,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst12_probe_h07_1660_1740,647,23,23,4,26,19,14.185034,0.739516,0,40
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14723,23,23,57,79,19,14.957023,0.885322,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14725,23,23,57,79,19,12.661386,0.933006,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14726,23,23,57,79,19,13.663104,1.032622,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14728,23,23,57,79,19,10.869935,0.970016,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14729,23,23,57,79,19,21.692846,1.019027,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14730,23,23,57,79,19,16.261252,0.995101,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,14731,23,23,57,79,19,15.152260,0.957048,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,1267,23,23,4,26,19,36.278482,1.380416,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1160_1320,1270,23,23,4,26,19,16.389293,1.665993,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1320_1480,433,23,23,1,23,19,11.394629,1.849605,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,1725,23,23,21,43,19,13.987055,0.636279,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1480_1640,2055,23,23,29,51,19,17.739666,0.718394,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27g_threewayprobe_aqualoc_h07_1660_1740,980,23,23,8,30,19,9.851214,0.791397,0,40
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1820,980,23,23,8,30,19,9.851214,0.791397,0,80
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun27i_threewayprobe_aqualoc_h07_1660_1950,980,23,23,8,30,19,9.851214,0.791397,0,145
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul07_nonoverlap_onlineprobe3_ntnu_mclab2_s70_d10,2217,23,2,11,91,19,18.707207,1.130135,0,100
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst12_probe_h07_1660_1740,438,22,22,2,23,18,10.874392,0.709166,0,40
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jul09_longburst12_probe_h07_1660_1740,686,22,22,5,26,18,12.093242,0.764125,0,40
aqualoc_real_vins,logs/aqualoc_real_vins/external_hybrid_xfeat_every2_jun26_noncirs_seedchain_h07_1160_1320_probe,7888,22,22,35,56,18,12.971299,1.030502,0,80
