family,run_dir,feature_id,lineage_observations,seed_observations,first_frame,confirmation_frame,last_frame,post_confirmation_observations,median_nearest_classical_px,median_motion_ratio_to_classical,passes_same_rule,causal_selected,feature_frames,metrics_exported_source_total
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_more_fr_neighborhood_v1_fr40_60_export,10000019,11,11,24,28,34,7,87.43036634194475,0.22381195728804654,1,0,148,72
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr120_150_export,10000073,11,11,85,89,95,7,81.01639279812589,0.4058443953232278,1,0,243,342
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_active_v5_afrl_fr80_110_probe,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,479
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v10_adaptive_budget_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v7_hold40_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,479
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v9_fr80_budget360_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_budget_v1_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_v1_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_budget240_v1_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_motion2_v1_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v2_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v3_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v4_fr80_110_export,10000057,11,11,68,72,78,7,80.94822821758692,0.2845807533165508,1,0,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_more_fr_neighborhood_v1_fr20_40_export,10000009,11,11,33,37,43,7,79.35096140545515,0.35674187906206833,1,0,226,40
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun11_matched_xfeat_batch1_fr20_40_export,10000009,11,11,33,37,43,7,79.35096140545515,0.35674187906206833,1,0,226,40
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_active_v5_afrl_fr25_45_probe,10000191,11,11,117,121,127,7,49.90015900927742,0.19087963746501865,1,0,192,644
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v7_hold40_fr25_45_export,10000118,11,11,117,121,127,7,49.90015900927742,0.19087963746501865,1,0,192,495
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr50_80_export,10000029,11,11,134,138,144,7,48.40242909200283,0.36943772488530435,1,0,232,322
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr110_140_export,10000101,11,11,91,95,101,7,48.012533913701105,0.10629949131667851,1,0,265,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_agegate20_v1_fr110_140_export,10000097,11,11,91,95,101,7,48.012533913701105,0.10629949131667851,1,0,265,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_budget_v1_fr110_140_export,10000101,11,11,91,95,101,7,48.012533913701105,0.10629949131667851,1,0,265,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_motion2_v1_fr110_140_export,10000101,11,11,91,95,101,7,48.012533913701105,0.10629949131667851,1,0,265,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr110_140_export,10000101,11,11,91,95,101,7,48.012533913701105,0.10629949131667851,1,0,265,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_agegate20_v1_fr90_120_export,10000222,11,11,257,261,267,7,42.406518236988525,0.07734749901681699,1,0,268,351
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_more_fr_late_v1_fr105_125_export,10000006,10,10,30,34,39,6,215.09808992547647,0.38654027280121955,1,0,186,62
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr60_90_export,10000006,10,10,37,41,46,6,173.1211975100019,0.23940247229857659,1,0,224,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recenthealth_v1_fr60_90_export,10000006,10,10,37,41,46,6,173.1211975100019,0.23940247229857659,1,0,224,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recenthealth_v2_fr60_90_export,10000006,10,10,37,41,46,6,173.1211975100019,0.23940247229857659,1,0,224,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr90_120_export,10000161,10,10,159,163,168,6,151.56837194122897,0.39980679393324053,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_budget_v1_fr90_120_export,10000161,10,10,159,163,168,6,151.56837194122897,0.39980679393324053,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_motion6_budget240_v1_fr90_120_export,10000097,10,10,159,163,168,6,151.56837194122897,0.39980679393324053,1,0,268,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_motion2_v1_fr90_120_export,10000113,10,10,159,163,168,6,151.56837194122897,0.39980679393324053,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr90_120_export,10000161,10,10,159,163,168,6,151.56837194122897,0.39980679393324053,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_support_balanced_v105_fr80_110_export,10000053,10,10,132,136,141,6,137.51435805349325,0.8804539355562068,1,0,243,135
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_visible2_budget240_v1_fr80_110_export,10000076,10,10,132,136,141,6,137.51435805349325,0.8804539355562068,1,0,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr90_120_export,10000189,10,10,172,176,181,6,135.24806341288448,0.2651616074779388,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_budget_v1_fr90_120_export,10000189,10,10,172,176,181,6,135.24806341288448,0.2651616074779388,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr90_120_export,10000189,10,10,172,176,181,6,135.24806341288448,0.2651616074779388,1,0,268,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_covonly_scan_v1_fr90_120_export,10000027,10,10,173,177,182,6,133.60727225772052,0.26116251218832554,1,0,268,92
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_support_balanced_v105_fr90_120_export,10000042,10,10,173,177,182,6,133.60727225772052,0.26116251218832554,1,0,268,164
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_visible2_budget240_v1_fr90_120_export,10000078,10,10,173,177,182,6,133.60727225772052,0.25967734749639027,1,0,268,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun27_seedchain_fr110_130_probe_oldcontract,532,10,8,8,12,35,6,126.19397702393775,0.19780913647035356,1,1,189,50
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr120_150_export,10000102,10,10,150,154,159,6,120.94347540138169,0.5617390842713956,1,0,243,342
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_counter_recheck_v1_fr85_105_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,169,65
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_more_fr_late_v1_fr85_105_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,169,65
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_parity350_probe_v1_fr85_105_export,10000002,10,10,21,25,30,6,108.68935543067208,0.5487667917638829,1,1,169,61
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun11_matched_xfeat_batch3_fr85_105_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,169,65
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_fr90like_budget80_probe_v1_fr85_115_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,244,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_recenthealth_probe_export_v1_fr85_115_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,244,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_recenthealth_probe_export_v2_fr85_115_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,244,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_riskq_v5_fr85_probe_fr85_115_export,10000004,10,10,21,25,30,6,108.68935543067208,0.5114914121881168,1,1,244,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_active_v5_afrl_fr25_45_probe,10000264,10,10,160,164,169,6,103.40191052469292,0.42995750087985724,1,0,192,644
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v7_hold40_fr25_45_export,10000191,10,10,160,164,169,6,103.40191052469292,0.42995750087985724,1,0,192,495
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun08_more_fr_fr125_145_xfeat_export,10000010,10,10,45,49,54,6,102.5396796800548,0.37583308416820904,1,1,155,71
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr120_150_export,10000090,10,10,96,100,105,6,97.71936209762742,0.1965616352472094,1,0,243,342
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun02_xfeat_holdoff30_probe_fr120_150_export,10000014,10,10,36,40,45,6,97.22159787423732,0.7390667307908836,1,1,243,75
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_support_balanced_v105_fr60_90_export,10000016,10,10,56,60,65,6,93.01575427679018,0.21881525915794037,1,0,224,224
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_active_v5_afrl_fr25_45_probe,10000068,10,10,51,55,60,6,83.74358338229273,0.8698832319612189,1,0,192,644
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_support_balanced_v105_fr80_110_export,10000023,10,10,69,73,78,6,82.2837277486091,0.46113281895903996,1,1,243,135
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_visible2_budget240_v1_fr80_110_export,10000031,10,10,69,73,78,6,82.2837277486091,0.4559161991326816,1,0,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_agegate20_v1_fr60_90_export,10000135,10,10,174,178,183,6,81.49187152446281,0.8996528487975564,1,0,224,279
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_budget240_v1_fr60_90_export,10000044,10,10,174,178,183,6,81.49187152446281,0.8996528487975564,1,0,224,152
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr60_90_export,10000044,10,10,174,178,183,6,81.49187152446281,0.8996528487975564,1,0,224,152
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v2_fr60_90_export,10000044,10,10,174,178,183,6,81.49187152446281,0.8996528487975564,1,0,224,152
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v3_fr60_90_export,10000044,10,10,174,178,183,6,81.49187152446281,0.8996528487975564,1,0,224,152
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v4_fr60_90_export,10000044,10,10,174,178,183,6,81.49187152446281,0.8996528487975564,1,0,224,152
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun07_formal_v3_positive_windows_fr120_150_export,10000087,10,10,96,100,105,6,80.06368601524696,0.40065646865410065,1,0,243,342
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun01_current_xfeat_boundary_v1_on_positive_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,70
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun01_partialseedfix_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,70
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun01_reasonfix_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,73
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_jun01_xfeat_covseed_formal_v2_more_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,70
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_active_v5_afrl_fr80_110_probe,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,479
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v10_adaptive_budget_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v7_hold40_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,479
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_lowtexture_support_xfeat_v9_fr80_budget360_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_adaptive_support_v11_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_budget_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may29_xfeat_recovery_veto_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_recenthealth_probe_export_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_seedwindow_v1_regression_fr80_110_export,10000010,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_seedwindow_v2_budgetwait_fr80_110_export,10000010,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,65
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_seedwindow_v3_early1_probe_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,73
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_shortseed_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_shortseed_v2_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_budget240_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_motion2_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_recovery_burst_v1_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,360
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_budget80_formal_v5_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,80
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v2_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,240
afrl,/mnt/data/AQUA-FE_WS/logs/afrl_cave_v31/external_hybrid_xfeat_every2_may30_xfeat_riskq_formal_v3_fr80_110_export,10000015,10,10,24,28,33,6,79.09045958240952,1.0320402796886667,1,1,243,240
