window,group,event_frame_zero_based,metric_frame_index,timestamp_ns,track_id,source_code,source_label,backend_visible_age_at_event,backend_visible_future_including_event,backend_visible_full_lifetime,quality_at_event,u,v,left_censored,right_censored,matching
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,352,1,klt,2,39,40,0.800000011920929,650.7028198242188,50.23453140258789,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,354,1,klt,2,4,5,0.800000011920929,388.0696105957031,564.3629760742188,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,364,1,klt,1,15,15,0.800000011920929,567.916259765625,439.6119384765625,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,365,1,klt,1,35,35,0.800000011920929,669.3372192382812,59.82135772705078,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,1,3,1542883311929996608,366,1,klt,1,25,25,0.800000011920929,228.81333923339844,393.5357666015625,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,86,1,klt,3,19,21,0.800000011920929,732.6904907226562,380.63043212890625,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,95,1,klt,3,12,14,0.800000011920929,777.9479370117188,342.6036376953125,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,163,1,klt,3,32,34,0.8027194738388062,449.74755859375,282.3338623046875,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,173,1,klt,3,11,13,0.8026749491691589,768.658203125,216.40892028808594,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,201,1,klt,3,25,27,0.800000011920929,322.4117736816406,384.37664794921875,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,215,1,klt,3,25,27,0.800000011920929,714.3480224609375,194.46905517578125,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,228,1,klt,3,7,9,0.8017110228538513,722.3733520507812,523.7296752929688,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,259,1,klt,3,15,17,0.800000011920929,302.4667663574219,468.1549377441406,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,272,1,klt,3,14,16,0.800000011920929,629.7813720703125,188.63970947265625,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,276,1,klt,3,42,44,0.800000011920929,604.4495849609375,121.08303833007812,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,277,1,klt,3,33,35,0.800000011920929,460.2535705566406,259.1263427734375,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,293,1,klt,3,25,27,0.800000011920929,212.34410095214844,386.6716613769531,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,300,1,klt,3,9,11,0.8017000555992126,496.9086608886719,503.2663269042969,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,308,1,klt,3,5,7,0.800000011920929,420.9236755371094,554.85693359375,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,319,1,klt,3,19,21,0.800000011920929,776.4457397460938,161.17959594726562,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,332,1,klt,3,25,27,0.800000011920929,668.1644287109375,289.23223876953125,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,341,1,klt,3,2,4,0.800000011920929,765.0791625976562,135.729248046875,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,351,1,klt,3,6,8,0.800000011920929,726.4824829101562,51.52389144897461,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,353,1,klt,3,16,18,0.800000011920929,339.4611511230469,447.0697937011719,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,354,1,klt,3,3,5,0.800000011920929,391.0563659667969,573.9835815429688,True,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,360,1,klt,2,14,15,0.800000011920929,551.1223754882812,453.99859619140625,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,364,1,klt,2,14,15,0.800000011920929,571.807373046875,449.1825866699219,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,365,1,klt,2,34,35,0.800000011920929,673.0729370117188,62.49717330932617,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,366,1,klt,2,24,25,0.800000011920929,229.2798309326172,400.5223388671875,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,370,1,klt,2,15,16,0.800000011920929,588.595703125,434.0207214355469,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,371,1,klt,2,9,10,0.800000011920929,698.9267578125,274.8985900878906,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,372,1,klt,1,19,19,0.800000011920929,780.5171508789062,88.41072082519531,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,375,1,klt,1,44,44,0.800000011920929,610.74609375,95.30909729003906,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,2,5,1542883312030069024,378,1,klt,1,8,8,0.800000011920929,451.62274169921875,520.1483154296875,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,380,1,klt,2,1,2,0.800000011920929,309.5497741699219,595.3853759765625,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,381,1,klt,2,9,10,0.800000011920929,233.54713439941406,515.0765380859375,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,382,1,klt,2,27,28,0.800000011920929,708.4072875976562,183.2831268310547,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,385,1,klt,2,2,3,0.800000011920929,259.93023681640625,544.4515991210938,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,390,1,klt,2,12,13,0.800000011920929,534.751953125,480.0816955566406,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,391,1,klt,2,2,3,0.800000011920929,303.2041015625,527.4945678710938,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,392,1,klt,2,2,3,0.800000011920929,327.9798889160156,583.3453369140625,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,394,1,klt,1,16,16,0.800000011920929,395.0774841308594,439.2540283203125,False,True,exact_track_id
a06_s000_d045,harm_or_mixed,3,7,1542883312130018624,395,1,klt,1,32,32,0.800000011920929,471.350341796875,291.0366516113281,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44447,1,klt,2,4,5,0.800000011920929,245.4628448486328,221.25466918945312,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44455,1,klt,2,4,5,0.800000011920929,463.14654541015625,97.46598052978516,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44462,1,klt,2,46,47,0.800000011920929,497.9885559082031,318.2310485839844,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44464,1,klt,2,3,4,0.800000011920929,459.4319763183594,242.84991455078125,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44467,1,klt,2,1,2,0.800000011920929,264.1583251953125,245.35894775390625,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44474,1,klt,2,2,3,0.800000011920929,328.74517822265625,170.1591796875,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44483,1,klt,2,2,3,0.800000011920929,532.6280517578125,440.21295166015625,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44486,1,klt,2,1,2,0.800000011920929,255.53591918945312,264.8515930175781,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44488,1,klt,1,2,2,0.800000011920929,440.87701416015625,238.51211547851562,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44491,1,klt,1,3,3,0.800000011920929,387.40863037109375,254.74630737304688,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,441,883,1523387590292054400,44505,1,klt,1,2,2,0.800000011920929,568.75537109375,305.86846923828125,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44506,1,klt,2,2,3,0.800000011920929,228.53514099121094,207.5865936279297,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44513,1,klt,2,1,2,0.800000011920929,399.5700988769531,187.92408752441406,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44519,1,klt,2,1,2,0.800000011920929,368.4402160644531,501.5567626953125,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44534,1,klt,2,8,9,0.800000011920929,187.74131774902344,281.6004943847656,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44542,1,klt,1,10,10,0.800000011920929,344.4707946777344,288.6041564941406,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44543,1,klt,1,2,2,0.800000011920929,479.6421813964844,393.575927734375,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44544,1,klt,1,2,2,0.800000011920929,317.405029296875,388.2206115722656,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,442,885,1523387590391256672,44548,1,klt,1,1,1,0.800000011920929,439.64251708984375,480.417724609375,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,443,887,1523387590492305824,44543,1,klt,2,1,2,0.800000011920929,471.35760498046875,400.46929931640625,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,443,887,1523387590492305824,44562,1,klt,2,2,3,0.800000011920929,358.8114013671875,191.4239044189453,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,443,887,1523387590492305824,44579,1,klt,1,1,1,0.800000011920929,399.502197265625,252.64242553710938,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,443,887,1523387590492305824,44587,1,klt,1,1,1,0.800000011920929,556.4664916992188,99.1473617553711,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,443,887,1523387590492305824,44590,1,klt,1,6,6,0.800000011920929,578.0433349609375,98.42256164550781,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,444,889,1523387590592215712,44581,1,klt,2,3,4,0.800000011920929,490.9017028808594,273.26141357421875,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,444,889,1523387590592215712,44605,1,klt,2,7,8,0.800000011920929,276.59246826171875,236.0979461669922,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,444,889,1523387590592215712,44619,1,klt,2,4,5,0.800000011920929,535.0538940429688,91.5951156616211,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,444,889,1523387590592215712,44630,1,klt,1,1,1,0.800000011920929,392.7981872558594,262.446044921875,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,444,889,1523387590592215712,44642,1,klt,1,1,1,0.800000011920929,504.3319396972656,329.8681335449219,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44629,1,klt,2,2,3,0.800000011920929,360.06610107421875,250.4364776611328,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44652,1,klt,2,11,12,0.800000011920929,306.4793701171875,336.439208984375,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44655,1,klt,2,5,6,0.800000011920929,526.2709350585938,337.0948486328125,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44657,1,klt,2,1,2,0.800000011920929,324.355224609375,299.5500793457031,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44662,1,klt,2,6,7,0.800000011920929,273.1833190917969,309.5652770996094,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44664,1,klt,2,1,2,0.800000011920929,282.52349853515625,179.9635772705078,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44666,1,klt,2,2,3,0.800000011920929,343.05950927734375,162.3780059814453,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44669,1,klt,1,4,4,0.800000011920929,229.94180297851562,357.49615478515625,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44670,1,klt,1,14,14,0.800000011920929,627.4387817382812,324.7295227050781,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44675,1,klt,1,40,40,0.800000011920929,628.3182983398438,205.40077209472656,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44678,1,klt,1,9,9,0.800000011920929,624.5524291992188,342.5037841796875,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44679,1,klt,1,3,3,0.800000011920929,381.3381652832031,273.2369689941406,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44682,1,klt,1,7,7,0.800000011920929,402.0897521972656,239.53036499023438,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,445,891,1523387590692881568,44685,1,klt,1,55,55,0.800000011920929,625.9266967773438,274.3084411621094,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44692,1,klt,2,1,2,0.800000011920929,408.0680236816406,244.5737762451172,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44694,1,klt,2,1,2,0.800000011920929,264.1706237792969,298.53790283203125,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44698,1,klt,2,7,8,0.800000011920929,524.5537109375,129.7039794921875,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44703,1,klt,2,18,19,0.800000011920929,588.537353515625,369.7379455566406,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44706,1,klt,2,1,2,0.800000011920929,237.05636596679688,307.5146179199219,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44717,1,klt,1,54,54,0.800000011920929,626.7334594726562,412.6787109375,False,True,exact_track_id
h07_s000_d050,harm_or_mixed,446,893,1523387590793184128,44719,1,klt,1,16,16,0.800000011920929,628.2496948242188,440.280517578125,False,True,exact_track_id
