role,window,arm,repeat,yaml_sha256,camera_sha256,node_sha256,library_sha256,environment_sha256,allowed_difference,status
UNIQUE_REUSED_KLT_FOR_GUARD,a08_2700_3600,klt,2,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,0361b94dc8ce7bbe3fb709144af3afd71da280a900bae443433fc2a5f03ae349,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a08_2700_3600,klt,3,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,4f9aa9844e1492af1b7dd59c44cbc6e9ffa676ca1b0274cd88fc0ecaa2c81b76,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a09_6000_6800,klt,1,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,cfa13bce7d2d7d475c22f2e527f73d80b7c950dac5b9710c976d3e7247dd7574,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a09_6000_6800,klt,2,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,b3598c7dcc8c31d680c8e978c4fa63734c79f0e7f64ee1c225f31a825c75ff57,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,a09_6000_6800,klt,3,7ecf99b8c6540cc3c9ab4917b2453c1579afed96a928034c8e65e4f5f04532b1,045505013a5dbfb629bad8d3463bbbdacad965ebdcf3c590598121bd884e50a5,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,b078c2c34686931b4acb0c8c6ca620c6d6b74b4a7a7d2054b543b92c149e041f,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,afrl_bus_s180_d045,klt,1,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,5856ee4b261d5b0d67021ef81ad0a0c5e8e6aa885184c68591530224b3645aee,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,82d35c20df3749c00ef232ebfb94b9231d0b79d4e1fe7b0b0dd6f4f4e7c17508,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,afrl_bus_s180_d045,klt,2,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,5856ee4b261d5b0d67021ef81ad0a0c5e8e6aa885184c68591530224b3645aee,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,59775afdaaea13f82cc0acfd029953a898564ae31264cc515090d1969f4f310e,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,afrl_bus_s180_d045,klt,3,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,5856ee4b261d5b0d67021ef81ad0a0c5e8e6aa885184c68591530224b3645aee,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,eecb47951f2a451a18353ad95eb87a0978fd4f279256dfee17170925641552e7,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,afrl_cemetery_s135_d045,klt,1,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,9580011fcaa23217407c1d1dbf616d57e95d81498293129f70bc0700e40e5154,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,d128f74d6d640dc6a5317f3b4b2dac3257f4652d4dd7636ec7cabac50754821c,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,afrl_cemetery_s135_d045,klt,2,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,9580011fcaa23217407c1d1dbf616d57e95d81498293129f70bc0700e40e5154,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,5cd86c4e45027ff2c4b3cc714d4df39d9658ed82240655c990353540c70097e3,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,afrl_cemetery_s135_d045,klt,3,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,9580011fcaa23217407c1d1dbf616d57e95d81498293129f70bc0700e40e5154,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,031a047aa90706f068c0bfaa1ae9a61e87f786068de1290e6bb2098256e8ca36,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,h07_0_1000,klt,1,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,40b62d139ef4246589b5cbafaa04619c0ebb9da0218a332e62706cfeda3d0242,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,b3a40348ac4817212cc82b3519ece443e325e2506e910c7d95db2640b75ba173,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,h07_0_1000,klt,2,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,40b62d139ef4246589b5cbafaa04619c0ebb9da0218a332e62706cfeda3d0242,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,867b358c9570ae1d239312c03c18ecbf1d89538b4161fd01da9d7e29c2d70ff8,None; exact KLT bag mapped to existing execution contract,PASS
UNIQUE_REUSED_KLT_FOR_GUARD,h07_0_1000,klt,3,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,40b62d139ef4246589b5cbafaa04619c0ebb9da0218a332e62706cfeda3d0242,4e91d8ac0735163fb6617e18d64ae0de91cc903d036f0e568a29bd3e5f5f4278,373a598c7ce591b4fe97ced9b3ee1de5bbf0322c105a54afcb03a91b810f71e8,fae16fa33416cd4c599ad38c64b54defcbe13b3fbb0034b6e350161b7cf8c6f9,None; exact KLT bag mapped to existing execution contract,PASS
